,—éŽ­Žs,0
1273,1556,1436.6133333333332
1274,1364,1276.5133333333333
1275,1274,1305.4433333333334
1276,1193,1174.3966666666668
1277,1167,1191.421111111111
1278,1081,1197.83
1279,1055,1069.3333333333333
1280,1049,1013.3233333333334
1281,1052,1045.6933333333334
1282,1227,1165.13
1283,1467,1403.6005555555557
1284,1644,1568.6933333333336
1285,1850,1637.1333333333334
1286,1962,1806.4371666666668
1287,1882,1671.7741666666666
1288,1580,1500.165
1289,1323,1276.85
1290,1084,1079.94
1291,873,863.4142222222222
1292,756,744.85
1293,760,807.2733333333333
1294,893,859.8182857142857
1295,1251,1422.5697222222223
1296,1576,1549.2182857142857
1297,1543,2378.11
1298,1301,1243.7866666666666
1299,1240,1198.33
1300,1137,1085.6204761904762
1301,1119,1038.2733333333333
1302,1106,1156.5166666666667
1303,1019,1012.51
1304,1026,955.8466666666667
1305,1097,1009.7833333333333
1306,1201,1127.36
1307,1470,1372.0357777777776
1308,1704,1604.2266666666667
1309,1885,1689.7933333333333
1310,1918,1800.8133333333333
1311,1810,1681.4308333333333
1312,1552,1436.7723333333333
1313,1281,1287.1366666666668
1314,1085,1004.225
1315,922,873.9066666666666
1316,789,692.2833333333333
1317,784,750.7466666666667
1318,927,1120.1990317460318
1319,1249,1195.4033333333334
1320,1502,1604.0903333333333
1321,1396,1562.0633333333333
1322,1203,1669.5566666666666
1323,1180,1349.6266666666668
1324,1087,1098.7333333333333
1325,1095,1178.9333333333334
1326,1089,1357.0633333333333
1327,1050,1087.8633333333332
1328,1043,993.85
1329,1058,1002.2333333333333
1330,1212,1310.4466666666667
1331,1454,1478.185
1332,1679,1553.4262222222223
1333,1859,1733.2155555555555
1334,1947,1759.7572222222225
1335,1839,1702.271
1336,1608,1433.0083333333334
1337,1318,1153.4
1338,1091,1058.7983333333334
1339,891,896.3577777777779
1340,773,735.8266666666667
1341,778,832.0802222222221
1342,856,1001.53
1343,1222,1201.8728888888888
1344,1519,1640.6666666666667
1345,1417,1583.04
1346,1269,1450.1766666666667
1347,1241,1347.2766666666666
1348,1158,1197.6133333333332
1349,1123,1159.2333333333333
1350,1089,1214.7766666666666
1351,1060,2347.4491666666668
1352,1080,996.66
1353,1079,1088.9533333333334
1354,1216,1189.8333333333333
1355,1441,1383.0422222222223
1356,1612,1562.6892222222223
1357,1730,1609.1266666666668
1358,1818,1747.8658333333333
1359,1710,1647.1466666666668
1360,1510,1460.0580555555555
1361,1305,1224.5933333333332
1362,1086,1003.5591666666667
1363,901,811.668888888889
1364,775,707.9733333333334
1365,754,747.0533333333333
1366,838,859.8744444444444
1367,1099,1313.3666666666666
1368,1459,1419.7418888888888
1369,1566,1494.1213333333335
1370,1496,1344.0333333333333
1371,1424,1346.2522222222224
1372,1342,1253.1833333333334
1373,1288,1177.4466666666667
1374,1315,1178.1333333333332
1375,1195,1074.87
1376,1145,990.3333333333334
1377,1118,1080.8633333333332
1378,1223,1227.9783333333332
1379,1418,1461.8466666666666
1380,1526,1640.263555555555
1381,1639,1770.797063492064
