,Žl“úŽsŽs,0
133,378,343.37333333333333
134,334,330.63666666666666
135,268,282.03
136,201,220.30333333333334
137,153,159.77
138,112,114.44666666666667
139,79,83.03
140,65,84.19333333333333
141,98,102.43
142,190,202.12666666666667
143,336,287.49333333333334
144,354,347.4433333333333
145,295,299.3233333333333
146,245,270.02694444444444
147,231,204.47666666666666
148,182,175.96833333333333
149,164,163.44
150,168,155.69333333333333
151,148,145.61333333333334
152,143,151.82333333333332
153,190,175.40666666666667
154,228,227.21
155,300,292.1533333333333
156,378,332.35333333333335
157,374,360.0833333333333
158,367,351.06333333333333
159,287,271.38666666666666
160,213,216.84083333333334
161,167,156.0622222222222
162,107,114.92333333333333
163,83,78.55
164,70,77.5
165,112,100.40333333333334
166,188,228.88666666666666
167,307,286.03200000000004
168,338,345.0566666666667
169,314,275.62916666666666
170,246,293.19
171,197,210.74
172,181,164.26
173,159,163.7
174,165,142.00333333333333
175,137,157.16
176,148,138.52333333333334
177,174,173.78666666666666
178,222,220.16
179,291,282.73333333333335
180,324,314.3652222222222
181,354,346.3333333333333
182,335,333.9066666666667
183,281,290.0133333333333
184,220,229.65666666666667
185,167,164.45444444444445
186,121,107.59
187,100,87.16333333333333
188,74,85.42
189,80,110.32333333333334
190,136,233.39
191,226,320.16333333333336
192,279,363.57199999999995
193,283,286.29
194,271,204.90333333333334
195,214,200.49333333333334
196,189,176.2
197,181,150.66
198,172,144.70333333333335
199,151,150.17
200,154,137.4526666666667
201,187,185.63666666666666
202,233,219.82444444444442
203,296,270.48333333333335
204,322,347.5
205,359,362.44
206,312,340.835
207,253,280.8333333333333
208,213,249.70333333333335
209,159,155.82238095238097
210,112,143.25216666666668
211,93,103.59333333333333
212,74,86.22
213,89,114.56666666666666
214,110,215.6906666666667
215,166,320.9533333333333
216,233,338.49666666666667
217,281,274.05333333333334
218,262,226.23666666666668
219,235,167.37
220,197,172.24333333333334
221,186,158.01333333333332
222,172,159.23333333333332
223,155,144.805
224,154,159.86666666666667
225,191,168.61333333333334
226,254,214.48333333333332
227,317,236.73
228,356,327.0304444444444
229,377,313.45666666666665
230,345,312.41555555555556
231,281,297.62
232,203,216.90666666666667
233,157,150.8216666666667
234,103,108.41666666666667
235,69,87.28333333333333
236,67,83.03166666666667
237,114,79.18333333333334
238,202,211.348
239,339,346.6166666666667
240,374,306.8111111111111
241,307,313.12333333333333
242,237,226.18333333333334
243,214,193.71666666666667
244,178,185.95666666666668
245,175,149.74
246,158,141.22666666666666
247,135,137.29333333333332
248,127,137.60333333333332
249,154,161.11
250,234,186.06333333333333
251,307,250.15
252,380,320.91361111111115
253,386,343.6533333333333
254,365,324.8666666666667
255,283,286.4066666666667
256,203,223.88333333333333
257,145,167.63
258,98,110.49333333333334
259,81,83.33
260,62,85.50833333333334
261,99,113.33333333333333
262,207,217.05266666666668
263,326,365.0566666666667
264,359,376.8566666666667
265,316,299.18666666666667
266,258,234.03333333333333
267,183,182.18333333333334
268,163,172.57
269,147,146.93333333333334
270,140,139.25
271,144,125.83805555555554
272,135,128.44333333333333
273,155,157.36
274,220,204.54666666666665
275,320,248.30333333333334
276,383,343.39
277,390,362.0566666666667
278,353,356.385
279,280,274.0933333333333
280,208,225.95333333333335
281,145,153.72
282,101,108.55333333333333
283,81,84.12
284,68,71.63
285,109,107.14666666666666
286,195,201.68857142857144
287,308,334.67
288,348,367.33666666666664
289,292,284.9266666666667
290,226,225.84
291,189,215.96333333333334
292,167,174.91166666666666
293,144,151.78333333333333
294,132,186.56
295,146,143.02333333333334
296,149,151.24666666666667
297,155,169.66666666666666
298,220,225.65333333333334
299,292,258.55333333333334
300,359,297.20777777777784
301,382,365.39666666666665
302,345,344.6
303,269,291.0
304,206,222.41666666666666
305,153,162.71666666666667
306,101,114.28666666666666
307,80,80.86333333333333
308,71,78.11097222222224
309,115,112.91
310,184,185.87666666666667
311,317,305.78333333333336
312,352,350.51666666666665
313,312,308.5966666666667
314,228,222.22744444444444
315,193,190.72333333333333
316,180,177.76666666666668
317,168,149.40311111111112
318,144,144.11666666666667
319,137,139.0
320,134,138.17416666666668
321,159,163.23666666666668
322,218,187.66666666666666
323,290,269.9766666666667
324,350,328.0238333333333
325,373,354.71666666666664
326,361,346.89638888888885
327,280,295.05333333333334
328,205,232.68333333333334
329,148,153.62
330,104,120.74355555555555
331,84,79.47
332,66,75.61333333333333
333,103,134.14333333333335
334,194,193.45
335,309,294.2133333333333
336,334,336.77
337,279,303.06666666666666
338,241,229.42333333333335
339,167,206.41333333333333
340,162,153.24
341,147,148.98333333333332
342,147,148.53
343,131,148.11333333333334
344,140,178.50666666666666
345,164,162.12666666666667
346,220,177.8177777777778
347,264,245.03666666666666
348,321,293.0366666666667
349,336,344.71
350,305,330.88666666666666
351,267,274.7733333333333
352,211,217.07
353,170,229.82876984126983
354,136,153.63833333333332
355,136,94.02
356,119,72.24333333333334
357,142,132.81333333333333
358,229,215.43333333333334
359,289,310.88666666666666
360,325,411.74
361,348,293.13666666666666
362,308,219.42333333333335
